Timestamp,Beacon_Address,Beacon_Major,Beacon_Minor,RSSI_Value,Calculated_Distance,Actual_Distance_Provided
1755681442.8880527,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681442.9762583,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681442.9956315,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,5.0
1755681443.0391123,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681443.0905838,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681443.196249,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,5.0
1755681443.289,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681443.3103626,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681443.3230114,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681443.354162,C3:00:00:39:47:98,1701,1071,-79,1.202264434617413,5.0
1755681443.4029489,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681443.6011884,C3:00:00:39:47:98,1701,1071,-85,2.0892961308540396,5.0
1755681443.6162596,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681443.6689024,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681443.7718298,C3:00:00:39:47:95,3112,2113,-84,1.9054607179632472,5.0
1755681443.826613,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681443.9332535,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681444.0200067,C3:00:00:39:47:98,1701,1071,-89,3.019951720402016,5.0
1755681444.1414392,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681444.1617563,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681444.2980545,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,5.0
1755681444.3250074,C3:00:00:39:47:98,1701,1071,-89,3.019951720402016,5.0
1755681444.5281343,C3:00:00:39:47:98,1701,1071,-85,2.0892961308540396,5.0
1755681444.5509079,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681444.6141925,C3:00:00:39:47:98,1701,1071,-84,1.9054607179632472,5.0
1755681444.8314197,C3:00:00:39:47:98,1701,1071,-87,2.51188643150958,5.0
1755681444.9303696,C3:00:00:39:47:98,1701,1071,-87,2.51188643150958,5.0
1755681445.078773,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681445.140433,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681445.1490226,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681445.1746888,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681445.2494593,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,5.0
1755681445.271495,C3:00:00:39:47:98,1701,1071,-87,2.51188643150958,5.0
1755681445.3893895,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,5.0
1755681445.4829245,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681445.559268,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681445.5808802,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681445.7054954,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681445.7773275,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681445.7984693,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681445.8753002,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681446.0142689,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681446.1018565,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681446.1580462,C3:00:00:39:47:95,3112,2113,-78,1.096478196143185,5.0
1755681446.187785,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,5.0
1755681446.205414,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681446.3306284,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681446.3465512,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681446.3792598,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681446.4153168,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681446.5027502,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681446.5259054,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,5.0
1755681446.639256,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,5.0
1755681446.6904976,C3:00:00:39:47:98,1701,1071,-91,3.630780547701014,5.0
1755681446.777501,C3:00:00:39:47:95,3112,2113,-84,1.9054607179632472,5.0
1755681446.8134298,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681446.9549508,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681446.993141,C3:00:00:39:47:98,1701,1071,-89,3.019951720402016,5.0
1755681447.0334806,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681447.1251616,C3:00:00:39:47:98,1701,1071,-90,3.311311214825911,5.0
1755681447.1441278,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681447.157414,C3:00:00:39:47:95,3112,2113,-79,1.202264434617413,5.0
1755681447.2678993,C3:00:00:39:47:95,3112,2113,-78,1.096478196143185,5.0
1755681447.3397102,C3:00:00:39:47:95,3112,2113,-79,1.202264434617413,5.0
1755681447.3534794,C3:00:00:39:47:98,1701,1071,-79,1.202264434617413,5.0
1755681447.4380953,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681447.4539883,C3:00:00:39:47:98,1701,1071,-75,0.831763771102671,5.0
1755681447.5806346,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,5.0
1755681447.6118135,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681447.7852993,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,5.0
1755681447.8902354,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681447.9253323,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681447.957634,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,5.0
1755681448.0523813,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681448.0858028,C3:00:00:39:47:98,1701,1071,-77,1.0,5.0
1755681448.2120605,C3:00:00:39:47:95,3112,2113,-79,1.202264434617413,5.0
1755681448.2360387,C3:00:00:39:47:98,1701,1071,-84,1.9054607179632472,5.0
1755681448.2749252,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681448.3559554,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681448.3776572,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681448.3973207,C3:00:00:39:47:98,1701,1071,-75,0.831763771102671,5.0
1755681448.5241568,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681448.5408363,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681448.581525,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681448.6758323,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681448.7123663,C3:00:00:39:47:98,1701,1071,-77,1.0,5.0
1755681448.7886252,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681448.8506367,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681448.8956594,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681449.023528,C3:00:00:39:47:98,1701,1071,-77,1.0,5.0
1755681449.1585116,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681449.2900548,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681449.3412788,C3:00:00:39:47:98,1701,1071,-76,0.9120108393559098,5.0
1755681449.364879,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681449.4610972,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681449.46991,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681449.607691,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,5.0
1755681449.771153,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681449.779776,C3:00:00:39:47:98,1701,1071,-79,1.202264434617413,5.0
1755681449.78898,C3:00:00:39:47:95,3112,2113,-84,1.9054607179632472,5.0
1755681449.8238695,C3:00:00:39:47:95,3112,2113,-84,1.9054607179632472,5.0
1755681449.9109657,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,5.0
1755681449.9686346,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,5.0
1755681450.0914612,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681450.1303263,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681450.17411,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681450.227684,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681450.2828472,C3:00:00:39:47:98,1701,1071,-74,0.7585775750291838,5.0
1755681450.3736641,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681450.39199,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,5.0
1755681450.3983316,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681450.440939,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681450.5305784,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681450.6018133,C3:00:00:39:47:98,1701,1071,-76,0.9120108393559098,5.0
1755681450.706118,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681450.7115397,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,5.0
1755681450.7535486,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681450.7868164,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681450.8416607,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681451.0612152,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681451.0668595,C3:00:00:39:47:95,3112,2113,-85,2.0892961308540396,5.0
1755681451.1539946,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681451.1867378,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681451.2338111,C3:00:00:39:47:98,1701,1071,-79,1.202264434617413,5.0
1755681451.3237875,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681451.3415635,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681451.3703947,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,5.0
1755681451.3775077,C3:00:00:39:47:98,1701,1071,-86,2.290867652767773,5.0
1755681451.5466278,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,5.0
1755681451.677724,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681451.7685182,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681451.79211,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681451.8573122,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,5.0
1755681451.9425123,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681451.9682686,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681451.9878588,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681452.0874257,C3:00:00:39:47:98,1701,1071,-89,3.019951720402016,5.0
1755681452.300709,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681452.3806162,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681452.4035,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681452.4914532,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,5.0
1755681452.5625846,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681452.5927293,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681452.7047105,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681452.7860293,C3:00:00:39:47:95,3112,2113,-84,1.9054607179632472,5.0
1755681452.8005102,C3:00:00:39:47:98,1701,1071,-77,1.0,5.0
1755681452.8627038,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681452.9081633,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681452.9243295,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,5.0
1755681453.0166357,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681453.1808505,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681453.2440865,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681453.324169,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681453.3925846,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681453.4822817,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681453.5245445,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,5.0
1755681453.551415,C3:00:00:39:47:95,3112,2113,-79,1.202264434617413,5.0
1755681453.635115,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681453.7471945,C3:00:00:39:47:98,1701,1071,-79,1.202264434617413,5.0
1755681453.7883127,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681453.793635,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681453.8411126,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681453.9474452,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681454.0634854,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,5.0
1755681454.102043,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681454.1500523,C3:00:00:39:47:95,3112,2113,-84,1.9054607179632472,5.0
1755681454.1940494,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681454.256719,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681454.3763533,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,5.0
1755681454.4367375,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681454.49127,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681454.5638957,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681454.6942208,C3:00:00:39:47:98,1701,1071,-79,1.202264434617413,5.0
1755681454.727233,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681454.7755275,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,5.0
1755681454.7999206,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681454.8188095,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681454.8751638,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681455.0077062,C3:00:00:39:47:98,1701,1071,-77,1.0,5.0
1755681455.036574,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681455.0927608,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681455.1801531,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681455.326276,C3:00:00:39:47:98,1701,1071,-77,1.0,5.0
1755681455.4053364,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681455.4107075,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681455.4261084,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681455.4894235,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681455.6395872,C3:00:00:39:47:98,1701,1071,-77,1.0,5.0
1755681455.6743805,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681455.739935,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681455.8083534,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681455.9549713,C3:00:00:39:47:98,1701,1071,-77,1.0,5.0
1755681456.0242407,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681456.0323277,C3:00:00:39:47:95,3112,2113,-84,1.9054607179632472,5.0
1755681456.0500734,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681456.1167014,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681456.2063699,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681456.2698293,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681456.2899408,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,5.0
1755681456.333298,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,5.0
1755681456.351046,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681456.411617,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681456.4308448,C3:00:00:39:47:98,1701,1071,-79,1.202264434617413,5.0
1755681456.5763113,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681456.5965834,C3:00:00:39:47:98,1701,1071,-75,0.831763771102671,5.0
1755681456.646559,C3:00:00:39:47:95,3112,2113,-79,1.202264434617413,5.0
1755681456.7323709,C3:00:00:39:47:98,1701,1071,-79,1.202264434617413,5.0
1755681456.7945,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681456.8802297,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681456.9049692,C3:00:00:39:47:98,1701,1071,-77,1.0,5.0
1755681456.9578817,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681456.983496,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681457.0391533,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,4.5
1755681457.1940448,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,4.5
1755681457.219159,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,4.5
1755681457.2588494,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,4.5
1755681457.2798305,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,4.5
1755681457.3519464,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,4.5
1755681457.414538,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,4.5
